id	section	stakeholder	question	answerable_now	dashboard_location	metric_used	time_window	how_derived	owner	gap_note
A1	A Core	All viewers	What regime are we currently in (baseline, demand stress, liquidity stress, competitive yield stress, cost inflation stress)?	P	D01,D02,D06	activeScenarioId; macro; demandType; investorSellPct; competitorYield; providerCostPerWeek	Current parameter state	Read active preset + stress sliders and map manually to your regime taxonomy	Product+Modeling	No canonical regime label that exactly matches the 5-regime taxonomy
A2	A Core	All viewers	Which metrics are currently off baseline, and by how much?	P	D03,D07	solvencyScore; retentionRate; utilization; price; providers	Current run vs separately re-run baseline	Compare current cards/charts to a baseline rerun with same seed/horizon	Product+Modeling	No built-in global baseline-delta panel across all KPIs
A3	A Core	All viewers	Which failure mode is emerging right now?	P	D10,D14,D06	diagnostic verdict; tailRiskScore; regime summary	Current run	Use Diagnostic verdict + Risk branch + regime summary to infer mode	Product+Modeling	No single unified failure-mode classifier
A4	A Core	All viewers	Is provider retention stable or degrading?	Y	D03,D12	retentionRate; churnRatePct; providers	Weekly time series (T weeks)	Inspect retention/churn/provider trend charts	Product+Modeling	None
A5	A Core	All viewers	Is service continuity stable or degrading?	Y	D05,D13	demandServed vs capacity; utilization; demandCoverage	Weekly time series	Inspect capacity-demand and utilization trajectories	Service Reliability	None
A6	A Core	All viewers	Is incentive solvency improving or worsening (burn-to-mint direction)?	Y	D03,D11	solvencyScore; burn; mint; netBurnMinusMint	Weekly time series	Read solvency slope and burn-vs-mint relationship	Treasury/Risk	None
A7	A Core	All viewers	Are we currently subsidy-dependent?	Y	D03,D11	Solvency Ratio; Incentive Cost/GB vs Revenue/GB	Current week + trend	If solvency<1 and cost>revenue, classify as subsidy-dependent	Treasury/Risk	None
A8	A Core	All viewers	Are current rewards aligned with realized demand?	Y	D05,D11	revenuePerCapacity; costPerCapacity; utilization; demandServed	Current week + trend	Compare utility/revenue proxies against incentive spend	Protocol Design	Alignment is proxy-based, not direct on-chain settlement mapping
A9	A Core	All viewers	Are stress effects immediate or lagged (especially price shock vs churn vs capacity)?	P	D03,D05,D15	price; churnCount; providers; capacity; rewardLagWeeks	Event week and subsequent weeks	Observe post-shock paths across charts; engine includes reward/churn lag mechanics	Protocol Design	No dedicated lag estimator (e.g., computed lag in weeks)
A10	A Core	All viewers	Are we near any critical thresholds (alert states)?	Y	D03,D12,D14	solvency threshold 1.0; payback 12/36; churn panic zone; tail risk bands	Current week + near-term projection	Use threshold lines/badges in Survival, Miner, Risk views	Product+Risk	Threshold catalog not centralized in one panel
A11	A Core	All viewers	Which leading indicators changed first?	N	D03,D05,D10	N/A	N/A	Dashboard does not compute lead-lag ordering automatically	Research Lead	Requires explicit causality/lead-lag analytics layer
A12	A Core	All viewers	What changed this week vs last week vs baseline?	P	D03,D07	weekly series values; scenario outputs	Week-over-week within run; baseline via rerun	Read adjacent points and compare to a baseline run	Product+Modeling	No built-in WoW+baseline diff table
B1	B Builders	Builders / protocol designers	Are emissions too rigid relative to demand?	P	D01,D03,D15	maxMintWeekly; emissionFactor; demand; utilization	Scenario horizon	Vary emission controls and inspect solvency/utilization response	Protocol Design	KPI toggle exists but new-engine behavior is not fully surfaced as a distinct panel
B2	B Builders	Builders / protocol designers	How tightly do rewards track usage?	P	D11,D05,D15	minted vs burned; revenuePerCapacity vs costPerCapacity; demandServed	Scenario horizon	Compare incentive outflow with demand/revenue proxies	Protocol Design	No explicit rewards-to-usage elasticity score
B3	B Builders	Builders / protocol designers	Under demand contraction, how fast does burn-to-emission deteriorate?	Y	D01,D03,D11	demandType high-to-decay; solvencyScore slope	Weekly over T	Run contraction regime and measure weekly solvency decline	Protocol Design	None
B4	B Builders	Builders / protocol designers	Which parameter has highest sensitivity on churn?	P	D12,D14,D16	churnRatePct; churnCount; sensitivity sweep outputs	Scenario horizon	Use tornado + manual parameter sweeps and inspect churn charts	Protocol Design	Sensitivity is optimized for solvency/payback, not direct churn ranking
B5	B Builders	Builders / protocol designers	Which parameter has highest sensitivity on solvency?	Y	D14,D16	sensitivity sweep delta on solvency metric	Scenario horizon	Use tornado/sensitivity outputs ranked by delta	Protocol Design	None
B6	B Builders	Builders / protocol designers	What is the minimum provider margin needed to avoid churn acceleration?	P	D12,D15	profit; churnThreshold; churnRatePct	Weekly over T	Sweep costs/price and find churn acceleration boundary	Protocol Design	No explicit computed margin breakpoint output
B7	B Builders	Builders / protocol designers	Which provider tiers fail first under cost inflation?	P	D03,D05,D12,D15	urbanCount/ruralCount; proCount; churnCount	Scenario horizon	Compare cohort trajectories while increasing provider cost	Protocol Design	No dedicated time-varying cost-inflation process
B8	B Builders	Builders / protocol designers	How much liquidity depth is needed to prevent severe reward compression after unlock?	P	D01,D03,D15	initialLiquidity; investorSellPct; price drawdown; payback/profit	Unlock window	Sweep liquidity depth and inspect post-unlock economics	Protocol Design	No optimizer that outputs minimum required depth directly
B9	B Builders	Builders / protocol designers	How long is the lag from price shock to churn?	P	D03,D12,D15	price; churnCount; providers	Event week + subsequent weeks	Observe first significant churn increase after shock	Protocol Design	Lag is not auto-calculated as a KPI
B10	B Builders	Builders / protocol designers	How long is the lag from churn to capacity loss?	P	D05,D12,D15	churnCount; providers; capacity	Event week + subsequent weeks	Track timing between churn spike and capacity decline	Protocol Design	Lag not auto-reported
B11	B Builders	Builders / protocol designers	Does reward smoothing reduce second-order churn?	N	D15	rewardLagWeeks (engine only)	N/A in current UI workflow	Mechanic exists in model but is not operationalized as a direct dashboard experiment	Protocol Design	Needs exposed control + comparative panel
B12	B Builders	Builders / protocol designers	What is the probability of death-spiral conditions under each scenario?	P	D14,D17	tailRiskScore; insolvencyRate; drawdown; p10 floor	Per scenario run	Use risk branch as probability proxy across scenarios	Risk Modeling	No explicit deathSpiralProbability panel by scenario
B13	B Builders	Builders / protocol designers	Which scenarios produce structurally similar failure signatures?	N	D03,D10	N/A	N/A	No clustering/signature-similarity feature	Research Lead	Needs scenario-signature embedding or distance map
B14	B Builders	Builders / protocol designers	Do differentiated incentives by commitment tier improve retention quality?	P	D01,D05,D12,D15	proTierPct; proCount vs mercenaryCount; retention/churn	Scenario horizon	Adjust pro-tier mix and compare retention/churn outcomes	Protocol Design	Tier-specific incentive policy is proxy (hardware tiers), not full commitment contracts
B15	B Builders	Builders / protocol designers	Are we optimizing peak returns or downside resilience?	P	D07,D14	payback/earnings vs tailRisk/solvency metrics	Scenario horizon	Compare ROI metrics against tail risk and solvency metrics	Protocol Design	No explicit objective-function selector in UI
B16	B Builders	Builders / protocol designers	Which design changes improve robustness without overfitting one scenario?	P	D07,D14,D16	sensitivity levers; solvency projection; risk metrics	Multi-scenario manual runs	Cross-check lever effects under multiple presets	Protocol Design	No built-in cross-scenario robustness score
B17	B Builders	Builders / protocol designers	Which failure mode is currently most likely if no intervention is made?	P	D10,D14,D06	diagnostic verdict; risk status; regime	Current run	Infer most-likely mode from combined diagnostic/risk signals	Risk Modeling	No single probabilistic mode ranking
B18	B Builders	Builders / protocol designers	Did a proposed parameter change improve robustness across scenarios, not just one?	P	D01,D07,D14	solvency/risk metrics across repeated runs	Multi-scenario manual runs	Run A/B parameter sets across presets and compare outputs	Protocol Design	No automated intervention scorecard across scenario set
C1	C Governance	Onocoy governance / DAO / foundation	Which stress-response archetype are we currently exhibiting (Subsidy Inertia, Overfitting, Re-targeting, Narrative Pivot, Emergency Centralization)?	P	D10,D06	Diagnostic archetype controls; regime summary	Current run	Map dashboard archetype/verdict outputs to governance archetype vocabulary	Governance Analytics	No native taxonomy matching these five archetypes
C2	C Governance	Onocoy governance / DAO / foundation	Are governance decisions widening the subsidy gap?	N	D11	N/A	N/A	Dashboard has no governance decision/event ledger	Governance Analytics	Requires policy action tracking over time
C3	C Governance	Onocoy governance / DAO / foundation	Are temporary reward boosts creating short-lived retention and long-term fragility?	P	D01,D03,D11	maxMintWeekly; retention; solvency; cost vs revenue	Scenario horizon	Apply boost scenarios and inspect short-term retention vs long-term solvency	Governance Analytics	No dedicated short-vs-long attribution panel
C4	C Governance	Onocoy governance / DAO / foundation	Are we rewarding economically valuable output or just participation volume?	P	D11,D05	costPerCapacity vs revenuePerCapacity; utilization; demandCoverage	Scenario horizon	Compare utility/revenue proxies with incentive spend and capacity usage	Governance Analytics	Economic value is modeled/proxy, not full verified revenue ledger
C5	C Governance	Onocoy governance / DAO / foundation	Is provider margin deterioration a leading warning signal right now?	Y	D12,D14	profit; payback; churn	Current run + recent weeks	Use miner profitability trend and churn warning zones	Governance Analytics	None
C6	C Governance	Onocoy governance / DAO / foundation	How many providers are near/below breakeven?	P	D11,D12	underwaterCount; paybackMonths; profit	Current week + trend	Use underwater nodes and payback stress as breakeven proxy	Governance Analytics	No exact near-breakeven distribution histogram
C7	C Governance	Onocoy governance / DAO / foundation	Is ONO price sensitivity translating into delayed churn risk?	P	D03,D12,D15	price; churnCount; provider trend	Shock week onward	Observe delayed churn after price shocks	Governance Analytics	No explicit delay-risk coefficient output
C8	C Governance	Onocoy governance / DAO / foundation	Are we over-relying on narrative versus structural parameter change?	N	D10	N/A	N/A	No narrative-vs-policy instrumentation	Governance Analytics	Needs governance process metrics
C9	C Governance	Onocoy governance / DAO / foundation	Are we drifting toward emergency centralization to maintain coverage?	N	D05	N/A	N/A	No decentralization-centralization governance metric	Governance Analytics	Needs decentralization KPI set
C10	C Governance	Onocoy governance / DAO / foundation	Does current policy protect high-commitment providers better than mercenary supply?	Y	D05,D12,D15	pro vs mercenary cohorts; churn response	Scenario horizon	Compare cohort retention/churn under stress	Governance Analytics	Commitment tiers are proxied via hardware/cost cohorts
C11	C Governance	Onocoy governance / DAO / foundation	What happens if we extend beta/bonus rewards 4, 8, or 12 weeks?	N	D01,D15	N/A (no explicit beta bonus parameter)	N/A	Cannot run direct beta/bonus extension scenario from dashboard controls	Governance Analytics	Needs explicit bonus-duration control
C12	C Governance	Onocoy governance / DAO / foundation	What happens if we increase demand-linking in rewards?	P	D01,D15	emissionModel; demand-linked emissions behavior	Scenario horizon	Toggle/simulate demand-linked reward logic and inspect outcomes	Governance Analytics	Demand-linking exposure is partial in current UI path
C13	C Governance	Onocoy governance / DAO / foundation	What happens if we adjust burn fraction or emission decay?	Y	D01,D03,D11	burnPct; maxMintWeekly; solvency trends	Scenario horizon	Adjust tokenomics sliders and compare trajectories	Governance Analytics	None
C14	C Governance	Onocoy governance / DAO / foundation	Which KPI triggers should force governance review?	P	D03,D12,D14	threshold lines (solvency/payback/churn/tail risk)	Current run + forecast	Use threshold breaches as candidate governance triggers	Governance Analytics	Triggers are not codified as governance rules
C15	C Governance	Onocoy governance / DAO / foundation	Which KPI triggers should force emergency action?	P	D12,D14	panic churn zone; tail risk high; insolvency exposure	Current run + forecast	Interpret severe threshold breaches as emergency thresholds	Governance Analytics	No hardwired emergency policy engine
C16	C Governance	Onocoy governance / DAO / foundation	Are capacity metrics masking latent degradation?	Y	D10,D13	latent capacity degradation; demandCoverage vs utilization	Scenario horizon	Cross-read latent degradation with utility charts	Governance Analytics	None
C17	C Governance	Onocoy governance / DAO / foundation	Are we improving burn-to-mint trajectory toward solvency?	Y	D03,D11	solvencyScore trend; burn vs mint	Weekly trend	Inspect slope and threshold crossings over time	Governance Analytics	None
C18	C Governance	Onocoy governance / DAO / foundation	Are governance interventions reducing fragility or just delaying it?	P	D07,D10,D14	verdict/tail-risk/solvency before vs after intervention runs	Multi-run comparison	Compare intervention scenarios vs baseline	Governance Analytics	No causal intervention attribution model
D1	D Providers	Providers / miners	What is my current expected margin by provider tier?	P	D12,D05,D15	profit; payback; pro/mercenary cohort split	Current week + trend	Use miner profitability and cohort charts as tier-margin proxy	Provider Ops	No explicit margin table by tier in one panel
D2	D Providers	Providers / miners	How sensitive is my profitability to ONO price changes?	P	D12,D14,D16	break-even price; payback trend; drawdown scenarios	Scenario horizon	Use shock scenarios + break-even/ROI outputs	Provider Ops	No direct elasticity coefficient shown
D3	D Providers	Providers / miners	At what price/margin level does churn risk become high?	P	D12,D15	profit; churnThreshold; churnRatePct	Weekly over T	Sweep price/cost and identify churn panic threshold	Provider Ops	Threshold not auto-calculated as a single number
D4	D Providers	Providers / miners	How do my economics compare to alternative networks?	Y	D06,D07	monthly earnings; payback; sustainability; retention	Scenario horizon	Use Comparison and Benchmark peer tables	Provider Ops	None
D5	D Providers	Providers / miners	Is reward policy favoring long-term reliable operators?	P	D05,D12,D15	pro vs mercenary composition; churn response	Scenario horizon	Inspect cohort persistence under stress	Provider Ops	No explicit reliability-weighted payout policy metric
D6	D Providers	Providers / miners	How do cost shocks affect each provider type?	P	D01,D05,D12	providerCostPerWeek; cohort counts; profitability/churn	Scenario horizon	Increase cost and compare cohort outcomes	Provider Ops	No native time-varying inflation shock process
D7	D Providers	Providers / miners	Are current rewards likely sustainable or temporary subsidy?	Y	D03,D11	solvencyScore; costPerCapacity vs revenuePerCapacity	Current + trend	Read solvency regime and financial gap	Provider Ops	None
D8	D Providers	Providers / miners	What is expected retention trend for my cohort?	P	D03,D12	retentionRate; churnRate; providers	Weekly over T	Use retention/churn charts as cohort trend proxy	Provider Ops	No personalized cohort segmentation
D9	D Providers	Providers / miners	Are there early signs that nominal rewards are losing real value?	P	D12,D14	paybackMonths; profit; drawdown/volatility	Current + trend	Infer erosion via worsening ROI under price stress	Provider Ops	No inflation-adjusted real-value metric
D10	D Providers	Providers / miners	Are quality/uptime-linked rewards improving my long-term expected return?	P	D05,D15	proTierEfficiency; proShare; retention/profit proxies	Scenario horizon	Compare pro-tier settings and resulting outcomes	Provider Ops	No explicit uptime-quality telemetry/reward feed
D11	D Providers	Providers / miners	Under each stress scenario, when does breakeven break?	P	D02,D12	paybackMonths vs threshold bands	Per scenario over T	Run each preset and capture first breach week	Provider Ops	No automatic scenario-by-scenario breach timeline table
D12	D Providers	Providers / miners	Is current participation rational under downside conditions?	P	D12,D14,D11	payback; profit; tailRisk; insolvency exposure	Current + downside scenarios	Synthesize ROI and tail risk indicators	Provider Ops	No explicit utility-maximizing participation recommendation engine
E1	E Users	Users / rovers / enterprise buyers	Will service continuity remain stable if provider churn rises?	Y	D05,D13,D15	demandServed; capacity; providers; churnCount	Weekly over T	Check whether demand served/capacity remain resilient when churn rises	Service Reliability	None
E2	E Users	Users / rovers / enterprise buyers	Is capacity still sufficient for expected demand?	Y	D05,D13	demand vs demandServed; utilization; demandCoverage	Current + trend	Read coverage/utilization charts	Service Reliability	None
E3	E Users	Users / rovers / enterprise buyers	Are there signs of latent degradation (capacity at risk despite current uptime)?	Y	D10,D13	latent capacity degradation; overprovisioned state	Current + trend	Cross-read diagnostic degradation with utility utilization/coverage	Service Reliability	None
E4	E Users	Users / rovers / enterprise buyers	Which stress scenarios threaten service quality most?	P	D02,D05,D13,D14	demandCoverage; utilization; churn; tailRisk	Across scenario presets	Run presets and rank service KPI degradation manually	Service Reliability	No automated scenario threat ranking
E5	E Users	Users / rovers / enterprise buyers	How resilient is coverage to liquidity events?	P	D02,D03,D05	liquidity shock params; capacity; demandServed; drawdown	Unlock event window	Apply liquidity shock and observe coverage/capacity continuity	Service Reliability	No dedicated liquidity-to-coverage elasticity score
E6	E Users	Users / rovers / enterprise buyers	How resilient is coverage to provider cost inflation?	P	D01,D05,D13	providerCostPerWeek; utilization; demandCoverage	Scenario horizon	Increase provider cost and inspect coverage response	Service Reliability	No native time-varying cost-inflation path
E7	E Users	Users / rovers / enterprise buyers	Are quality-linked incentives protecting delivered service?	P	D05,D13,D15	proTierPct/proTierEfficiency; demandServed; coverage	Scenario horizon	Adjust quality tier mix and inspect service outcomes	Service Reliability	Quality-linked incentives are model proxies, not live quality-reward contracts
E8	E Users	Users / rovers / enterprise buyers	Is the network becoming more or less reliable over time?	Y	D03,D05,D13,D14	retention; utilization; demandCoverage; tailRisk	Weekly over T	Read trend direction across reliability KPIs	Service Reliability	None
F1	F Researchers	Researchers / thesis readers	Are stress inputs explicitly defined and separated from outcomes?	Y	D01,D03,D15	input parameters vs output series	Full run	Inputs are controlled in sidebar/presets; outcomes are charted metrics	Research Lead	None
F2	F Researchers	Researchers / thesis readers	Are scenario assumptions visible and reproducible?	Y	D01,D02,D19	params; scenario presets; seed; nSims	Per run	Assumptions are visible in controls and reproducible via seed settings	Research Lead	None
F3	F Researchers	Researchers / thesis readers	Are metrics operationally defined and computed consistently?	P	D03,D08,D18	metric formulas; viewmodel transforms	Full stack	Cross-check formulas and transforms across model/view layers	Research Lead	Known schema drift and partial inconsistencies are documented
F4	F Researchers	Researchers / thesis readers	Can baseline and stress runs be compared on identical axes/time windows?	P	D03,D07,D09	shared T horizon; scenario comparison; benchmark projection	Per run and per scenario	Use identical horizon/seed and compare series	Research Lead	No single universal baseline-compare workspace across all tabs
F5	F Researchers	Researchers / thesis readers	Is dispersion shown (median, IQR, tails), not just single runs?	Y	D03,D09,D17	p10/p90; ci95 bands; p05/p95 cones	Full horizon	Read uncertainty bands/cones in Sandbox and Research views	Research Lead	IQR specifically not always rendered as explicit box statistic
F6	F Researchers	Researchers / thesis readers	Are failure modes mapped to measurable precursor signals?	P	D10,D14	capacity degradation; BER proxies; tail risk components	Current + trend	Diagnostic panels map failure ideas to measured indicators	Research Lead	Some mappings are heuristic/illustrative
F7	F Researchers	Researchers / thesis readers	Are causal claims avoided where only directional evidence exists?	P	D10,D20	disclaimers; narrative labels	Documentation + panel text	Diagnostic panels include cautionary framing	Research Lead	Not all panels uniformly enforce causal-language discipline
F8	F Researchers	Researchers / thesis readers	Are non-goals explicit (no price prediction, no success forecasting)?	Y	D10,D20	non-goal disclaimers	UI text and docs	Diagnostic copy explicitly states not a price predictor	Research Lead	None
F9	F Researchers	Researchers / thesis readers	Are model limitations visible at point of interpretation?	P	D18,D20	evidence disclaimers; synthetic overlay note	Per panel where provided	Use in-panel caveats and docs for limitation context	Research Lead	Coverage is partial; not all panels show limitation callouts
F10	F Researchers	Researchers / thesis readers	Can results be traced from parameter input to observed outcome?	Y	D01,D03,D15	parameter controls to output metrics	Full run	Manipulate controls and observe deterministic seeded outputs	Research Lead	None
F11	F Researchers	Researchers / thesis readers	Are cross-scenario signatures distinguishable and interpretable?	P	D02,D03,D07,D14	scenario-specific metric trajectories	Across scenario presets	Compare trajectories and risk profiles manually	Research Lead	No formal signature classifier
F12	F Researchers	Researchers / thesis readers	Is comparative robustness emphasized over absolute ranking?	Y	D06,D07	peer-relative deltas; normalized benchmark scores	Scenario horizon	Use comparative matrix, bar chart, radar, solvency projection	Research Lead	None
F13	F Researchers	Researchers / thesis readers	Are archetype diagnostics connected to observable dashboard signals?	P	D10,D13,D14	archetype inputs; diagnostic signals; utility/risk metrics	Current + trend	Map archetype settings to signal changes	Research Lead	Connection is partly conceptual/illustrative
F14	F Researchers	Researchers / thesis readers	Are policy implications framed as considerations, not universal prescriptions?	P	D07,D10	decision prompts; narrative recommendations	Panel narrative	Review decision-prompt framing as conditional guidance	Research Lead	Some narrative blocks still read prescriptive
G1	G Comparative	Comparative DePIN analysts / community	How does Onocoy profile compare with archetype peers under identical stress?	Y	D06,D07	locked stress parameters; peer metrics	Scenario horizon	Use comparison view and benchmark with same stress inputs	Benchmarking Lead	None
G2	G Comparative	Comparative DePIN analysts / community	Which mechanisms are more robust to demand contraction?	P	D01,D07,D14	demandType scenarios; solvency/retention/tail risk	Across demand scenarios	Run demand contraction and compare peer outcomes	Benchmarking Lead	No precomputed mechanism-ranking by stress class
G3	G Comparative	Comparative DePIN analysts / community	Which mechanisms are more robust to liquidity shocks?	P	D02,D03,D07	liquidity shock params; drawdown; churn; solvency	Unlock event horizon	Run liquidity shock preset and compare peers	Benchmarking Lead	No automatic robustness ranking output
G4	G Comparative	Comparative DePIN analysts / community	Which mechanisms are more robust to competitive yield pressure?	Y	D01,D04,D06,D07	competitorYield; vampireChurn; retention/payback	Scenario horizon	Apply competitor-yield stress and compare cohort outcomes	Benchmarking Lead	None
G5	G Comparative	Comparative DePIN analysts / community	Which mechanisms are more robust to provider cost inflation?	P	D01,D07,D12	providerCostPerWeek; payback; churn; retention	Scenario horizon	Sweep cost parameter and compare peers	Benchmarking Lead	No explicit dynamic cost-inflation process
G6	G Comparative	Comparative DePIN analysts / community	Does sunk-cost friction materially slow churn?	Y	D01,D12,D15	hardwareCost; churnThreshold; churnRate	Scenario horizon	Compare high vs low hardware-cost configurations	Benchmarking Lead	None
G7	G Comparative	Comparative DePIN analysts / community	Which failure mode appears earliest by mechanism type?	P	D10,D14	first threshold breaches; diagnostic warnings	Scenario horizon	Track earliest warning/threshold hits manually by protocol	Benchmarking Lead	No automatic earliest-failure detector
G8	G Comparative	Comparative DePIN analysts / community	Is Onocoyâ€™s capped-supply profile trading flexibility for anti-dilution resilience?	P	D06,D07,D15	supply trajectory; inflation; solvency; payback	Scenario horizon	Compare supply/inflation path against resilience metrics	Benchmarking Lead	No explicit tradeoff frontier visualization
H1	H Token	Token holders / treasury-risk readers	Is net emission pressure increasing or decreasing?	Y	D03,D11,D17	minted; burned; inflation; netFlow	Weekly trend	Track burn-mint and inflation trajectory	Treasury/Risk	None
H2	H Token	Token holders / treasury-risk readers	Is burn-to-mint trending toward or away from solvency?	Y	D03,D11	solvencyScore trend	Weekly trend	Read solvency curve slope and threshold relation	Treasury/Risk	None
H3	H Token	Token holders / treasury-risk readers	How severe is unlock-event downside under current liquidity depth?	Y	D02,D03,D14,D15	initialLiquidity; investorSellPct; drawdown; tailRisk	Unlock event window	Run liquidity shock and inspect drawdown/tail risk	Treasury/Risk	Severity is scenario-based unless real vesting integers are supplied
H4	H Token	Token holders / treasury-risk readers	How much of provider retention is subsidy-supported vs economically viable?	P	D11,D12	underwaterCount; cost/revenue per capacity; payback	Current + trend	Estimate subsidy dependence from profitability gap metrics	Treasury/Risk	No explicit decomposition percentage
H5	H Token	Token holders / treasury-risk readers	Are price shocks likely to trigger second-order infrastructure attrition?	P	D03,D12,D15	price shock; panic churn; providers/capacity decline	Post-shock window	Observe sequential price->churn->capacity effects	Treasury/Risk	No explicit probability estimator for second-order attrition
H6	H Token	Token holders / treasury-risk readers	Which treasury/risk buffers are needed to absorb market dislocation?	P	D11,D14	treasury runway; tail risk; insolvency exposure	Scenario horizon	Use financial and risk branches to size needed buffers manually	Treasury/Risk	No optimizer for required buffer sizing
H7	H Token	Token holders / treasury-risk readers	Are we diluting to preserve short-term participation?	P	D03,D11	supply growth; mint vs burn; retention/providercount	Current + trend	Cross-check inflation pressure vs participation support	Treasury/Risk	No explicit dilution-attribution model
H8	H Token	Token holders / treasury-risk readers	Are interventions improving long-run solvency or postponing adjustment?	P	D07,D11,D14	long-horizon solvency projection; tail risk post intervention	Multi-scenario intervention runs	Compare intervention vs baseline trajectories	Treasury/Risk	No automated postpone-vs-improve classifier
H9	H Token	Token holders / treasury-risk readers	How exposed is network health to token volatility?	Y	D14,D12	volatility; drawdown; insolvencyRate; churn	Scenario horizon	Use risk branch volatility/tail metrics and miner stress response	Treasury/Risk	None
H10	H Token	Token holders / treasury-risk readers	Are we approaching conditions consistent with death-spiral probability alerts?	P	D14,D17,D06	tailRiskScore; insolvencyRate; drawdown; deathSpiralRisk	Current + near-term	Use tail-risk and drawdown alerts as probability proxies	Treasury/Risk	No direct deathSpiralProbability alert card
