url	title	text_len
https://docs.onocoy.com/documentation	What is onocoy? | onocoy Documentation	3594
https://docs.onocoy.com/documentation/why-gnss-matters	Why GNSS matters? | onocoy Documentation	3591
https://docs.onocoy.com/documentation/mission-and-vision	Mission and Vision | onocoy Documentation	2132
https://docs.onocoy.com/documentation/2.-how-it-works-depin-+-gnss/depin-for-gnss	DePIN for GNSS | onocoy Documentation	4048
https://docs.onocoy.com/documentation/decentralizing-correction-data	Decentralizing correction data | onocoy Documentation	4413
https://docs.onocoy.com/documentation/benefits-for-users-and-miners	Benefits for users and miners? | onocoy Documentation	4031
https://docs.onocoy.com/documentation/3.-become-a-miner/1.-get-a-station	Hardware recommendations | onocoy Documentation	4142
https://docs.onocoy.com/documentation/3.-become-a-miner/2.-install-your-station	Installation guide | onocoy Documentation	3070
https://docs.onocoy.com/documentation/3.-become-a-miner/create-and-connect-a-wallet	Create and connect a wallet | onocoy Documentation	1972
https://docs.onocoy.com/documentation/3.-become-a-miner/3.-connect-your-station-to-onocoy	Connect your station to onocoy | onocoy Documentation	3623
https://docs.onocoy.com/documentation/3.-become-a-miner/4.-receive-rewards	Receive rewards | onocoy Documentation	3562
https://docs.onocoy.com/documentation/3.-become-a-miner/data-validation	Data Validation | onocoy Documentation	1870
https://docs.onocoy.com/documentation/explorer	Explorer | onocoy Documentation	3354
https://docs.onocoy.com/documentation/4.-get-gnss-corrections/getting-data-credits	Getting data credits | onocoy Documentation	3978
https://docs.onocoy.com/documentation/4.-get-gnss-corrections/setting-of-the-credentials	Setting of the credentials | onocoy Documentation	3333
https://docs.onocoy.com/documentation/4.-get-gnss-corrections/configure-the-gnss-receiver	Configure the GNSS receiver | onocoy Documentation	2602
https://docs.onocoy.com/documentation/service-levels	Service levels | onocoy Documentation	2711
https://docs.onocoy.com/documentation/tokenomics	Tokenomics | onocoy Documentation	4835
https://docs.onocoy.com/documentation/trading-usdono	Trading $ONO | onocoy Documentation	1999
https://docs.onocoy.com/documentation/mining-rewards-breakdown	Mining rewards breakdown | onocoy Documentation	4137
https://docs.onocoy.com/documentation/bonus-programs	Bonus Programs | onocoy Documentation	1544
https://docs.onocoy.com/documentation/swapping-bono-to-ono	Swapping BONO to ONO | onocoy Documentation	6125
https://docs.onocoy.com/documentation/claim-presale-on-pinksale	Claim Presale on PinkSale | onocoy Documentation	3105
https://docs.onocoy.com/documentation/6.-how-to-contribute./partners	Partners | onocoy Documentation	2420
https://docs.onocoy.com/documentation/ambassador-program	Ambassador Program | onocoy Documentation	6021
https://docs.onocoy.com/documentation/7.-governance-and-community/dao-and-voting	DAO & voting | onocoy Documentation	3532
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/support-contact	Support contact | onocoy Documentation	1380
https://docs.onocoy.com/documentation/glossary	Glossary | onocoy Documentation	5285
https://docs.onocoy.com/documentation/1.-introduction	What is onocoy? | onocoy Documentation	3594
https://docs.onocoy.com/documentation/2.-how-it-works-depin-+-gnss	DePIN for GNSS | onocoy Documentation	4048
https://docs.onocoy.com/documentation/3.-become-a-miner	Hardware recommendations | onocoy Documentation	4142
https://docs.onocoy.com/documentation/3.-become-a-miner/3.-connect-your-station-to-onocoy#create-credentials-for-your-device	Connect your station to onocoy | onocoy Documentation	3623
https://docs.onocoy.com/documentation/explorer/sky-map	Sky Map | onocoy Documentation	3466
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#i-have-privacy-concerns.-is-the-precise-location-of-my-device-antenna-disclosed	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/4.-get-gnss-corrections	Getting data credits | onocoy Documentation	3978
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions/explaining-datum-shifts#new-feature-select-a-reference-frame	Explaining datum shifts | onocoy Documentation	10500
https://docs.onocoy.com/documentation/mining-rewards-breakdown/quality-scale	Quality Scale | onocoy Documentation	5963
https://docs.onocoy.com/documentation/mining-rewards-breakdown/availability-scale	Availability Scale | onocoy Documentation	4158
https://docs.onocoy.com/documentation/mining-rewards-breakdown/location-scale	Location Scale | onocoy Documentation	7895
https://docs.onocoy.com/documentation/bonus-programs/streak-appreciation	Streak Appreciation | onocoy Documentation	3805
https://docs.onocoy.com/documentation/bonus-programs/high-value-areas-hva	High Value Areas (HVA) | onocoy Documentation	3682
https://docs.onocoy.com/documentation/6.-how-to-contribute.	Partners | onocoy Documentation	2420
https://docs.onocoy.com/documentation/7.-governance-and-community	DAO & voting | onocoy Documentation	3532
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions/explaining-datum-shifts	Explaining datum shifts | onocoy Documentation	10500
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions/ephemeris-rtcm-stream	Ephemeris RTCM stream | onocoy Documentation	2930
https://docs.onocoy.com/documentation/8.-faq-troubleshooting	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#which-equipment-can-i-use-to-set-up-a-station	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#where-shall-i-put-my-antenna	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#what-do-i-need-to-connect-my-device-do-i-need-wifi	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#what-happens-if-i-want-to-change-the-location-of-my-station-antenna-receiver	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#my-credential-limit-is-reached.-how-can-i-add-another-station	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#my-station-does-not-support-the-ntrip-server-function-but-ntrip-caster.-can-you-retrieve-the-streams	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#what-ntrip-messages-need-to-be-enabled-on-my-gnss-reference-receivers-in-order-to-get-best-rewards	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#what-latency-is-tolerable-from-the-gnss-receiver-to-the-onocoy-system	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#how-does-onocoy-prevent-fraudulent-correction-streams	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#can-i-provide-data-from-a-3rd-party-service-such-as-public-networks-like-igs-or-other-publicly-or-pr	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#my-station-frequently-disconnects.-what-can-i-do	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#why-are-my-rewards-not-as-high-as-expected	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#my-wallet-is-not-connecting.-what-can-i-do	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#how-is-the-location-scale-calculated	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#how-much-will-i-earn-streaming-rtk-correction-data-to-onocoy	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#why-does-onocoy-use-blockchain-technology	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#if-the-rewards-received-from-miners-are-immediately-exchanged-for-fiat-the-token-price-must-drop.-ho	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#how-do-i-claim-my-rewards	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions#the-position-provided-by-my-onocoy-enabled-rtk-rover-doesnt-match-my-expectation-there-is-a-shift-in	Top miner questions | onocoy Documentation	14134
https://docs.onocoy.com/documentation/3.-become-a-miner/4.-receive-rewards#connect-your-wallet	Receive rewards | onocoy Documentation	3562
https://docs.onocoy.com/documentation/3.-become-a-miner/4.-receive-rewards#claim-rewards	Receive rewards | onocoy Documentation	3562
